time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-23 17:00:00,¯\_(ツ)_/¯,JoshKep,280,1720,20,260,1,99.8
2024-03-23 17:00:00,EEQESKL greater than 1,erinevoss,270,1510,20,250,2,99
2024-03-23 17:00:00,Overshoot don't Collapse,ESPNFAN0275865701,260,1820,20,240,3,96.7
2024-03-23 17:00:00,Rebounds over Rework,ESPNFAN1522828408,260,1740,20,240,3,96.7
2024-03-23 17:00:00,Rain dance,BDDJMerritt15,250,1490,20,230,5,90.9
2024-03-23 17:00:00,Dan's Picks,ESPNFAN3409828595,250,1770,20,230,5,90.9
2024-03-23 17:00:00,Not the right outliers,Essigcandy,250,1710,20,230,5,90.9
2024-03-23 17:00:00,Rio's puppy madness,RW15371501,250,1370,0,250,5,90.9
2024-03-23 17:00:00,Stella MM Output v38,espnfan39396853,240,1660,20,220,9,80.7
2024-03-23 17:00:00,Brennan's Picks,brennan_oc43,240,1720,20,220,9,80.7
2024-03-23 17:00:00,Kula Than Your Bracket,espnfan1467754849,240,1680,20,220,9,80.7
2024-03-23 17:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,240,1760,20,220,9,80.7
2024-03-23 17:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,240,1760,20,220,9,80.7
2024-03-23 17:00:00,NGB (next gen bracket),ESPNFAN8470559628,230,1590,20,210,14,66.5
2024-03-23 17:00:00,Connecticut=Championships,espnfan28366074,230,1790,20,210,14,66.5
2024-03-23 17:00:00,Erin B.,ebreezy06,230,1470,0,230,14,66.5
2024-03-23 17:00:00,Donna's pick #1,ESPNFAN5573415521,220,1440,20,200,17,48.1
2024-03-23 17:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,220,1600,20,200,17,48.1
2024-03-23 17:00:00,Rick's Picks,ESPNFAN9352171647,220,1640,20,200,17,48.1
2024-03-23 17:00:00,Will’s Bracket,w11k1,220,1600,0,220,17,48.1
2024-03-23 17:00:00,The Algorithm,espnfan7035969934,210,1450,0,210,21,35.1
2024-03-23 17:00:00,a truly STELLAr bracket,czoldak,210,1590,0,210,21,35.1
2024-03-23 17:00:00,Guided Coin Toss,01100001 01111010,200,1320,20,180,23,25.5
2024-03-23 17:00:00,The Anilyst's Picks,The Anilyst,180,920,20,160,24,14.6
2024-03-23 17:00:00,Coolest Mascots,ESPNFAN0082047637,150,910,0,150,25,8.1
2024-03-23 17:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
