time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 16:00:00,Overshoot don't Collapse,ESPNFAN0275865701,400,1820,160,240,1,99.1
2024-03-24 16:00:00,Not the right outliers,Essigcandy,390,1710,160,230,2,97.9
2024-03-24 16:00:00,Brennan's Picks,brennan_oc43,380,1720,160,220,3,95.5
2024-03-24 16:00:00,Rebounds over Rework,ESPNFAN1522828408,380,1740,140,240,3,95.5
2024-03-24 16:00:00,Connecticut=Championships,espnfan28366074,370,1770,160,210,5,91.2
2024-03-24 16:00:00,Dan's Picks,ESPNFAN3409828595,370,1770,140,230,5,91.2
2024-03-24 16:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,360,1600,140,220,7,84.9
2024-03-24 16:00:00,Rain dance,BDDJMerritt15,350,1470,120,230,8,77.4
2024-03-24 16:00:00,EEQESKL greater than 1,erinevoss,350,1470,100,250,8,77.4
2024-03-24 16:00:00,Donna's pick #1,ESPNFAN5573415521,340,1440,140,200,10,66.3
2024-03-24 16:00:00,Rick's Picks,ESPNFAN9352171647,340,1620,140,200,10,66.3
2024-03-24 16:00:00,Stella MM Output v38,espnfan39396853,340,1520,120,220,10,66.3
2024-03-24 16:00:00,¯\_(ツ)_/¯,JoshKep,340,1560,80,260,10,66.3
2024-03-24 16:00:00,Erin B.,ebreezy06,330,1430,100,230,14,58.1
2024-03-24 16:00:00,Rio's puppy madness,RW15371501,330,1310,80,250,14,58.1
2024-03-24 16:00:00,Kula Than Your Bracket,espnfan1467754849,320,1660,100,220,16,50.2
2024-03-24 16:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,320,1720,100,220,16,50.2
2024-03-24 16:00:00,Will’s Bracket,w11k1,320,1600,100,220,16,50.2
2024-03-24 16:00:00,The Algorithm,espnfan7035969934,290,1450,80,210,19,30.4
2024-03-24 16:00:00,Guided Coin Toss,01100001 01111010,280,1260,100,180,20,25.7
2024-03-24 16:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,280,1460,80,200,20,25.7
2024-03-24 16:00:00,a truly STELLAr bracket,czoldak,270,1510,60,210,22,21.9
2024-03-24 16:00:00,NGB (next gen bracket),ESPNFAN8470559628,250,1310,40,210,23,16.4
2024-03-24 16:00:00,The Anilyst's Picks,The Anilyst,240,780,80,160,24,14.4
2024-03-24 16:00:00,Coolest Mascots,ESPNFAN0082047637,150,490,0,150,25,5.7
2024-03-24 16:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
