time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-28 05:00:00,Overshoot don't Collapse,ESPNFAN0275865701,540,1820,300,240,1,99.9
2024-03-28 05:00:00,Rebounds over Rework,ESPNFAN1522828408,500,1740,260,240,2,98.7
2024-03-28 05:00:00,Connecticut=Championships,espnfan28366074,490,1770,280,210,3,97.5
2024-03-28 05:00:00,Brennan's Picks,brennan_oc43,480,1720,260,220,4,95.6
2024-03-28 05:00:00,Dan's Picks,ESPNFAN3409828595,470,1750,240,230,5,92.7
2024-03-28 05:00:00,Not the right outliers,Essigcandy,470,1710,240,230,5,92.7
2024-03-28 05:00:00,EEQESKL greater than 1,erinevoss,470,1470,220,250,5,92.7
2024-03-28 05:00:00,¯\_(ツ)_/¯,JoshKep,460,1540,200,260,8,88.1
2024-03-28 05:00:00,Rain dance,BDDJMerritt15,450,1450,220,230,9,82.9
2024-03-28 05:00:00,Rick's Picks,ESPNFAN9352171647,440,1600,240,200,10,74
2024-03-28 05:00:00,Rio's puppy madness,RW15371501,430,1270,180,250,11,67.3
2024-03-28 05:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,420,1660,200,220,12,60.6
2024-03-28 05:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,420,1460,200,220,12,60.6
2024-03-28 05:00:00,Erin B.,ebreezy06,410,1410,180,230,14,54.1
2024-03-28 05:00:00,Donna's pick #1,ESPNFAN5573415521,400,1400,200,200,15,48
2024-03-28 05:00:00,Stella MM Output v38,espnfan39396853,400,1440,180,220,15,48
2024-03-28 05:00:00,Kula Than Your Bracket,espnfan1467754849,400,1360,180,220,15,48
2024-03-28 05:00:00,Will’s Bracket,w11k1,380,1500,160,220,18,36.8
2024-03-28 05:00:00,The Algorithm,espnfan7035969934,370,1410,160,210,19,32.2
2024-03-28 05:00:00,a truly STELLAr bracket,czoldak,370,1370,160,210,19,32.2
2024-03-28 05:00:00,Guided Coin Toss,01100001 01111010,340,1100,160,180,21,21.8
2024-03-28 05:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,340,820,140,200,21,21.8
2024-03-28 05:00:00,The Anilyst's Picks,The Anilyst,320,760,160,160,23,17.6
2024-03-28 05:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,610,80,210,24,13.6
2024-03-28 05:00:00,Coolest Mascots,ESPNFAN0082047637,210,330,60,150,25,7.3
2024-03-28 05:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
