time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-23 22:00:00,Overshoot don't Collapse,ESPNFAN0275865701,320,1820,80,240,1,97.7
2024-03-23 22:00:00,Rebounds over Rework,ESPNFAN1522828408,320,1740,80,240,1,97.7
2024-03-23 22:00:00,Dan's Picks,ESPNFAN3409828595,310,1770,80,230,3,94.4
2024-03-23 22:00:00,Not the right outliers,Essigcandy,310,1710,80,230,3,94.4
2024-03-23 22:00:00,Brennan's Picks,brennan_oc43,300,1720,80,220,5,89.2
2024-03-23 22:00:00,¯\_(ツ)_/¯,JoshKep,300,1580,40,260,5,89.2
2024-03-23 22:00:00,Connecticut=Championships,espnfan28366074,290,1770,80,210,7,81.2
2024-03-23 22:00:00,Rain dance,BDDJMerritt15,290,1470,60,230,7,81.2
2024-03-23 22:00:00,EEQESKL greater than 1,erinevoss,290,1470,40,250,7,81.2
2024-03-23 22:00:00,Stella MM Output v38,espnfan39396853,280,1520,60,220,10,70.5
2024-03-23 22:00:00,Kula Than Your Bracket,espnfan1467754849,280,1660,60,220,10,70.5
2024-03-23 22:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,280,1740,60,220,10,70.5
2024-03-23 22:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,280,1600,60,220,10,70.5
2024-03-23 22:00:00,Rio's puppy madness,RW15371501,270,1370,20,250,14,58.9
2024-03-23 22:00:00,Donna's pick #1,ESPNFAN5573415521,260,1440,60,200,15,44.8
2024-03-23 22:00:00,Rick's Picks,ESPNFAN9352171647,260,1620,60,200,15,44.8
2024-03-23 22:00:00,Will’s Bracket,w11k1,260,1600,40,220,15,44.8
2024-03-23 22:00:00,NGB (next gen bracket),ESPNFAN8470559628,250,1390,40,210,18,35.3
2024-03-23 22:00:00,Erin B.,ebreezy06,250,1430,20,230,18,35.3
2024-03-23 22:00:00,The Algorithm,espnfan7035969934,230,1450,20,210,20,22.1
2024-03-23 22:00:00,a truly STELLAr bracket,czoldak,230,1510,20,210,20,22.1
2024-03-23 22:00:00,The Anilyst's Picks,The Anilyst,220,920,60,160,22,17.9
2024-03-23 22:00:00,Guided Coin Toss,01100001 01111010,220,1260,40,180,22,17.9
2024-03-23 22:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,220,1460,20,200,22,17.9
2024-03-23 22:00:00,Coolest Mascots,ESPNFAN0082047637,150,510,0,150,25,6.4
2024-03-23 22:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
