time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 00:00:00,Overshoot don't Collapse,ESPNFAN0275865701,360,1820,120,240,1,98.6
2024-03-24 00:00:00,Rebounds over Rework,ESPNFAN1522828408,360,1740,120,240,1,98.6
2024-03-24 00:00:00,Dan's Picks,ESPNFAN3409828595,350,1770,120,230,3,96.3
2024-03-24 00:00:00,Not the right outliers,Essigcandy,350,1710,120,230,3,96.3
2024-03-24 00:00:00,Brennan's Picks,brennan_oc43,340,1720,120,220,5,92.7
2024-03-24 00:00:00,¯\_(ツ)_/¯,JoshKep,340,1580,80,260,5,92.7
2024-03-24 00:00:00,Connecticut=Championships,espnfan28366074,330,1770,120,210,7,87
2024-03-24 00:00:00,Rain dance,BDDJMerritt15,330,1470,100,230,7,87
2024-03-24 00:00:00,EEQESKL greater than 1,erinevoss,330,1470,80,250,7,87
2024-03-24 00:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,320,1600,100,220,10,78.6
2024-03-24 00:00:00,Rio's puppy madness,RW15371501,310,1370,60,250,11,69
2024-03-24 00:00:00,Donna's pick #1,ESPNFAN5573415521,300,1440,100,200,12,56.2
2024-03-24 00:00:00,Rick's Picks,ESPNFAN9352171647,300,1620,100,200,12,56.2
2024-03-24 00:00:00,Stella MM Output v38,espnfan39396853,300,1520,80,220,12,56.2
2024-03-24 00:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,300,1740,80,220,12,56.2
2024-03-24 00:00:00,Erin B.,ebreezy06,290,1430,60,230,16,47.2
2024-03-24 00:00:00,Kula Than Your Bracket,espnfan1467754849,280,1660,60,220,17,39.1
2024-03-24 00:00:00,Will’s Bracket,w11k1,280,1600,60,220,17,39.1
2024-03-24 00:00:00,The Algorithm,espnfan7035969934,270,1450,60,210,19,31.9
2024-03-24 00:00:00,NGB (next gen bracket),ESPNFAN8470559628,250,1330,40,210,20,21.7
2024-03-24 00:00:00,a truly STELLAr bracket,czoldak,250,1510,40,210,20,21.7
2024-03-24 00:00:00,Guided Coin Toss,01100001 01111010,240,1260,60,180,22,18.3
2024-03-24 00:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,240,1460,40,200,22,18.3
2024-03-24 00:00:00,The Anilyst's Picks,The Anilyst,220,780,60,160,24,13.5
2024-03-24 00:00:00,Coolest Mascots,ESPNFAN0082047637,150,490,0,150,25,6
2024-03-24 00:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
