time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 20:00:00,Overshoot don't Collapse,ESPNFAN0275865701,440,1820,200,240,1,99.4
2024-03-24 20:00:00,Not the right outliers,Essigcandy,430,1710,200,230,2,98.6
2024-03-24 20:00:00,Brennan's Picks,brennan_oc43,420,1720,200,220,3,97
2024-03-24 20:00:00,Rebounds over Rework,ESPNFAN1522828408,420,1740,180,240,3,97
2024-03-24 20:00:00,Connecticut=Championships,espnfan28366074,410,1770,200,210,5,93.8
2024-03-24 20:00:00,Dan's Picks,ESPNFAN3409828595,410,1770,180,230,5,93.8
2024-03-24 20:00:00,Rain dance,BDDJMerritt15,390,1470,160,230,7,82.9
2024-03-24 20:00:00,EEQESKL greater than 1,erinevoss,390,1470,140,250,7,82.9
2024-03-24 20:00:00,Rick's Picks,ESPNFAN9352171647,380,1620,180,200,9,73.1
2024-03-24 20:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,380,1600,160,220,9,73.1
2024-03-24 20:00:00,¯\_(ツ)_/¯,JoshKep,380,1560,120,260,9,73.1
2024-03-24 20:00:00,Erin B.,ebreezy06,370,1430,140,230,12,65.7
2024-03-24 20:00:00,Rio's puppy madness,RW15371501,370,1310,120,250,12,65.7
2024-03-24 20:00:00,Donna's pick #1,ESPNFAN5573415521,360,1420,160,200,14,58.3
2024-03-24 20:00:00,Stella MM Output v38,espnfan39396853,360,1520,140,220,14,58.3
2024-03-24 20:00:00,Kula Than Your Bracket,espnfan1467754849,360,1660,140,220,14,58.3
2024-03-24 20:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,360,1720,140,220,14,58.3
2024-03-24 20:00:00,Will’s Bracket,w11k1,340,1580,120,220,18,44.2
2024-03-24 20:00:00,Guided Coin Toss,01100001 01111010,320,1260,140,180,19,32.6
2024-03-24 20:00:00,The Algorithm,espnfan7035969934,310,1430,100,210,20,27.9
2024-03-24 20:00:00,a truly STELLAr bracket,czoldak,310,1510,100,210,20,27.9
2024-03-24 20:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,300,1440,100,200,22,24.1
2024-03-24 20:00:00,The Anilyst's Picks,The Anilyst,280,780,120,160,23,18.4
2024-03-24 20:00:00,NGB (next gen bracket),ESPNFAN8470559628,270,1310,60,210,24,16.4
2024-03-24 20:00:00,Coolest Mascots,ESPNFAN0082047637,170,350,20,150,25,6.3
2024-03-24 20:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
