time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 21:00:00,Overshoot don't Collapse,ESPNFAN0275865701,460,1820,220,240,1,99.8
2024-03-24 21:00:00,Rebounds over Rework,ESPNFAN1522828408,440,1740,200,240,2,99
2024-03-24 21:00:00,Not the right outliers,Essigcandy,430,1710,200,230,3,97.8
2024-03-24 21:00:00,Brennan's Picks,brennan_oc43,420,1720,200,220,4,95.7
2024-03-24 21:00:00,Connecticut=Championships,espnfan28366074,410,1770,200,210,5,92.1
2024-03-24 21:00:00,Dan's Picks,ESPNFAN3409828595,410,1750,180,230,5,92.1
2024-03-24 21:00:00,EEQESKL greater than 1,erinevoss,410,1470,160,250,5,92.1
2024-03-24 21:00:00,¯\_(ツ)_/¯,JoshKep,400,1560,140,260,8,86.9
2024-03-24 21:00:00,Rain dance,BDDJMerritt15,390,1450,160,230,9,80.6
2024-03-24 21:00:00,Rick's Picks,ESPNFAN9352171647,380,1600,180,200,10,70.5
2024-03-24 21:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,380,1460,160,220,10,70.5
2024-03-24 21:00:00,Erin B.,ebreezy06,370,1410,140,230,12,63.1
2024-03-24 21:00:00,Rio's puppy madness,RW15371501,370,1290,120,250,12,63.1
2024-03-24 21:00:00,Donna's pick #1,ESPNFAN5573415521,360,1400,160,200,14,55.6
2024-03-24 21:00:00,Stella MM Output v38,espnfan39396853,360,1460,140,220,14,55.6
2024-03-24 21:00:00,Kula Than Your Bracket,espnfan1467754849,360,1360,140,220,14,55.6
2024-03-24 21:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,360,1660,140,220,14,55.6
2024-03-24 21:00:00,Will’s Bracket,w11k1,340,1520,120,220,18,41.9
2024-03-24 21:00:00,The Algorithm,espnfan7035969934,330,1430,120,210,19,35.9
2024-03-24 21:00:00,Guided Coin Toss,01100001 01111010,320,1120,140,180,20,30.9
2024-03-24 21:00:00,a truly STELLAr bracket,czoldak,310,1370,100,210,21,26.5
2024-03-24 21:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,300,1440,100,200,22,22.9
2024-03-24 21:00:00,The Anilyst's Picks,The Anilyst,280,760,120,160,23,17.5
2024-03-24 21:00:00,NGB (next gen bracket),ESPNFAN8470559628,270,1310,60,210,24,15.6
2024-03-24 21:00:00,Coolest Mascots,ESPNFAN0082047637,190,350,40,150,25,7.2
2024-03-24 21:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
