time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 08:00:00,Overshoot don't Collapse,ESPNFAN0275865701,380,1820,140,240,1,99
2024-03-24 08:00:00,Not the right outliers,Essigcandy,370,1710,140,230,2,97.5
2024-03-24 08:00:00,Brennan's Picks,brennan_oc43,360,1720,140,220,3,94.7
2024-03-24 08:00:00,Rebounds over Rework,ESPNFAN1522828408,360,1740,120,240,3,94.7
2024-03-24 08:00:00,Connecticut=Championships,espnfan28366074,350,1770,140,210,5,89.7
2024-03-24 08:00:00,Rain dance,BDDJMerritt15,350,1470,120,230,5,89.7
2024-03-24 08:00:00,Dan's Picks,ESPNFAN3409828595,350,1770,120,230,5,89.7
2024-03-24 08:00:00,EEQESKL greater than 1,erinevoss,350,1470,100,250,5,89.7
2024-03-24 08:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,340,1600,120,220,9,82.6
2024-03-24 08:00:00,¯\_(ツ)_/¯,JoshKep,340,1560,80,260,9,82.6
2024-03-24 08:00:00,Rio's puppy madness,RW15371501,330,1370,80,250,11,74.1
2024-03-24 08:00:00,Donna's pick #1,ESPNFAN5573415521,320,1440,120,200,12,62.1
2024-03-24 08:00:00,Rick's Picks,ESPNFAN9352171647,320,1620,120,200,12,62.1
2024-03-24 08:00:00,Stella MM Output v38,espnfan39396853,320,1520,100,220,12,62.1
2024-03-24 08:00:00,Erin B.,ebreezy06,310,1430,80,230,15,53.4
2024-03-24 08:00:00,Kula Than Your Bracket,espnfan1467754849,300,1660,80,220,16,45.1
2024-03-24 08:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,300,1720,80,220,16,45.1
2024-03-24 08:00:00,Will’s Bracket,w11k1,300,1600,80,220,16,45.1
2024-03-24 08:00:00,The Algorithm,espnfan7035969934,290,1450,80,210,19,37.6
2024-03-24 08:00:00,Guided Coin Toss,01100001 01111010,260,1260,80,180,20,22
2024-03-24 08:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,260,1460,60,200,20,22
2024-03-24 08:00:00,NGB (next gen bracket),ESPNFAN8470559628,250,1310,40,210,22,18.7
2024-03-24 08:00:00,a truly STELLAr bracket,czoldak,250,1510,40,210,22,18.7
2024-03-24 08:00:00,The Anilyst's Picks,The Anilyst,240,780,80,160,24,16.1
2024-03-24 08:00:00,Coolest Mascots,ESPNFAN0082047637,150,490,0,150,25,5.8
2024-03-24 08:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
