time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-24 19:00:00,Overshoot don't Collapse,ESPNFAN0275865701,420,1820,180,240,1,99.2
2024-03-24 19:00:00,Not the right outliers,Essigcandy,410,1710,180,230,2,98
2024-03-24 19:00:00,Brennan's Picks,brennan_oc43,400,1720,180,220,3,95.8
2024-03-24 19:00:00,Rebounds over Rework,ESPNFAN1522828408,400,1740,160,240,3,95.8
2024-03-24 19:00:00,Connecticut=Championships,espnfan28366074,390,1770,180,210,5,91.7
2024-03-24 19:00:00,Dan's Picks,ESPNFAN3409828595,390,1770,160,230,5,91.7
2024-03-24 19:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,380,1600,160,220,7,85.7
2024-03-24 19:00:00,Rain dance,BDDJMerritt15,370,1470,140,230,8,78.6
2024-03-24 19:00:00,EEQESKL greater than 1,erinevoss,370,1470,120,250,8,78.6
2024-03-24 19:00:00,Donna's pick #1,ESPNFAN5573415521,360,1440,160,200,10,67.7
2024-03-24 19:00:00,Rick's Picks,ESPNFAN9352171647,360,1620,160,200,10,67.7
2024-03-24 19:00:00,Stella MM Output v38,espnfan39396853,360,1520,140,220,10,67.7
2024-03-24 19:00:00,¯\_(ツ)_/¯,JoshKep,360,1560,100,260,10,67.7
2024-03-24 19:00:00,Erin B.,ebreezy06,350,1430,120,230,14,59.9
2024-03-24 19:00:00,Rio's puppy madness,RW15371501,350,1310,100,250,14,59.9
2024-03-24 19:00:00,Kula Than Your Bracket,espnfan1467754849,340,1660,120,220,16,52.2
2024-03-24 19:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,340,1720,120,220,16,52.2
2024-03-24 19:00:00,Will’s Bracket,w11k1,340,1600,120,220,16,52.2
2024-03-24 19:00:00,The Algorithm,espnfan7035969934,310,1450,100,210,19,32.6
2024-03-24 19:00:00,Guided Coin Toss,01100001 01111010,300,1260,120,180,20,27.8
2024-03-24 19:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,300,1460,100,200,20,27.8
2024-03-24 19:00:00,a truly STELLAr bracket,czoldak,290,1510,80,210,22,23.7
2024-03-24 19:00:00,NGB (next gen bracket),ESPNFAN8470559628,270,1310,60,210,23,18
2024-03-24 19:00:00,The Anilyst's Picks,The Anilyst,260,780,100,160,24,15.9
2024-03-24 19:00:00,Coolest Mascots,ESPNFAN0082047637,150,350,0,150,25,5.5
2024-03-24 19:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
